course name : Mathematics
Instructor : Mannan

ID	NAME 	MID	PROJECT	FINAL	TOTAL	Percentage	Grade
202001	s1	46	54	67	167	55.000000	F
202002	s2	87	93	88	268	89.000000	B
202004	s4	26	48	56	130	43.000000	F
202006	s6	93	89	90	272	90.000000	A
202007	s7	65	75	80	220	73.000000	C
202008	s8	58	49	43	150	50.000000	F
202010	s10	85	78	76	239	79.000000	C
202012	s12	76	85	81	242	80.000000	B
202013	s13	54	74	69	197	65.000000	D
202014	s14	73	79	84	236	78.000000	C


course name : Science
Instructor : Saeed

ID	NAME 	MID	PROJECT	FINAL	TOTAL	Percentage	Grade
202001	s1	53	47	75	175	58.000000	F
202002	s2	79	86	95	260	86.000000	B
202003	s3	62	39	64	165	55.000000	F
202005	s5	95	75	97	267	89.000000	B
202009	s9	78	59	85	222	74.000000	C
202010	s10	70	49	38	157	52.000000	F
202011	s11	88	84	69	241	80.000000	B
202012	s12	89	84	87	260	86.000000	B
202013	s13	68	55	75	198	66.000000	D
202014	s14	81	76	89	246	82.000000	B
